0,0,1.6
0.01025,0,1.6001
0.0307505,0,1.59996
0.061476,0,1.59874
0.102303,0,1.59509
0.152897,0,1.5872
0.212561,0,1.57283
0.280067,0,1.54944
0.353476,0,1.51432
0.430004,0,1.46489
0.50594,0,1.39894
0.576685,0,1.31508
0.636912,0,1.21303
0.680872,0,1.09401
0.702818,0,0.96093
0.697534,0,0.818514
0.66093,0,0.673242
0.590694,0,0.533073
0.486992,0,0.40688
0.353115,0,0.303398
0.195715,0,0.229525
0.0235644,0,0.188437
-0.155963,0,0.179638
-0.3397,0,0.202725
-0.52595,0,0.261395
-0.708911,0,0.362819
-0.87662,0,0.513051
-1.01334,0,0.712711
-1.1031,0,0.955697
-1.1323,0,1.2301
